Name,Reputation,Plat,Important
Synthesis Scanner x 25,5000,,False
Kinetic Siphon Trap x 10,5000,,False
Cephalon Simaris Sigil,25000,,False
Madurai Transmute Core,5000,,False
Vazarin Transmute Core,5000,,False
Naramon Transmute Core,5000,,False
Data-Parse Widget,25000,,False
Cross-Matrix Widget,50000,,False
Sol-Battery Widget,50000,,False
Vector-Thread Widget,50000,,False
Looter,75000,,True
Detect Vulnerability,75000,,True
Reawaken,75000,,True
Negate,75000,,True
Ambush,75000,,True
Energy Generator,75000,,True
Botanist,75000,,True
Energy Conversion,100000,,True
Health Conversion,100000,,True
Astral Autopsy,100000,,True
Simulacrum Access Key,50000,,False
Simaris Helios Skin,100000,,False
Simulor Blueprint,75000,,False
Heliocor Blueprint,75000,,False
Exilus Warframe Adapter Blueprint,50000,,True
Color Key Scene,100000,,False
Orokin Derelict Plaza Scene,100000,,False
Sanctuary Conduit Scene,100000,,False
Orvius Blueprint,100000,,False
Ludoplex,50000,,False
Happy Zephyr,25000,,False
Wyrmius,25000,,False
Simaris Offerings Console,75000,,False
Simaris Research Console,75000,,False
Companion Weapon Riven Mod,100000,,True
Gara Blueprint,50000,,False
Limbo Chassis Blueprint,25000,,False
Limbo Neuroptics Blueprint,25000,,False
Limbo Systems Blueprint,25000,,False
Chroma Blueprint,50000,,False
Chroma Chassis Blueprint,25000,,False
Chroma Neuroptics Blueprint,25000,,False
Chroma Systems Blueprint,25000,,False
Mirage Chassis Blueprint,25000,,False
Mirage Neuroptics Blueprint,25000,,False
Mirage Systems Blueprint,25000,,False
Harrow Blueprint,50000,,False
Yareli Blueprint,50000,,False
Inaros Blueprint,50000,,False
Inaros Chassis Blueprint,25000,,False
Inaros Neuroptics Blueprint,25000,,False
Inaros Systems Blueprint,25000,,False
Titania Blueprint,50000,,False
Titania Chassis Blueprint,25000,,False
Titania Neuroptics Blueprint,25000,,False
Titania Systems Blueprint,25000,,False
Nidus Blueprint,50000,,False
Octavia Blueprint,50000,,False
Atlas Blueprint,50000,,False
Broken Scepter Blueprint,100000,,False
Odonata Blueprint,100000,,False
Odonata Harness Blueprint,50000,,False
Odonata Systems Blueprint,50000,,False
Odonata Wings Blueprint,50000,,False
Imperator Blueprint,100000,,False
Veritux Blueprint,100000,,False
Revenant Blueprint,50000,,False
Garuda Blueprint,50000,,False
Protea Blueprint,50000,,False
Sevagoth Blueprint,50000,,False
Xaku Blueprint,50000,,False
Mandachord Blueprint,25000,,False
Shedu Blueprint,100000,,False
Umbral Vitality,100000,,True
Umbral Fiber,100000,,True
Umbral Intensify,100000,,True
Sacrificial Pressure,100000,,True
Sacrificial Steel,100000,,True
Xoris Blueprint,100000,,False
Xoris Blade,15000,,False
Xoris Core,15000,,False
Ether Daggers Blueprint,100000,,False
Xoris Handle,15000,,False
Zenistar Blueprint,100000,,False
Azima Blueprint,100000,,False
Zenith Blueprint,100000,,False
Sigma & Octantis Blueprint,100000,,False
Vitrica Blueprint,100000,,False
Machete Blueprint,100000,,False
War Hilt,50000,,False
War Blade,50000,,False
Paracesis Sheath,50000,,False
Nataruk,100000,,False
Sirocco,100000,,False
Rumblejack,100000,,False
Sun & Moon,100000,,False
Syam,100000,,False
Sampotes,100000,,False
Edun,100000,,False
Azothane,100000,,False
