Name,Reputation,Plat,Important
Holdfasts Fallen Sigil,5000,,False
Holdfasts Watcher Sigil,10000,,False
Holdfasts Guardian Sigil,15000,,False
Holdfasts Seraph Sigil,20000,,False
Holdfasts Angel Sigil,30000,,False
Laetum Blueprint,3000,,False
Innodem Blueprint,5500,,False
Eternal Eradicate,5000,,True
Cascadia Accuracy,5000,,True
Fractalized Reset,5000,,True
Molt Vigor,5000,,True
Emergence Savior,5000,,True
Phenmor Blueprint,6000,,False
Eternal Onslaught,5500,,True
Cascadia Flare,5500,,True
Felarx Blueprint,8000,,False
Cascadia Empowered,7500,,True
Molt Efficiency,7500,,True
Emergence Renewed,7500,,True
Praedos Blueprint,9000,,False
Molt Reconstruct,8500,,True
Eternal Logistics,8500,,True
Cascadia Overcharge,10000,,True
Emergence Dissipate,10000,,True
Molt Augmented,10000,,True
Amp Arcane Adapter,20000,20,True
