Name,Reputation,Plat,Important
Corrosive Projection,20,,True
Dead Eye,20,,True
Dreamer's Bond,20,,True
EMP Aura,20,,True
Enemy Radar,20,,True
Energy Siphon,20,,True
Holster Amp,20,,True
Infested Impedance,20,,True
Loot Detector,20,,True
Physique,20,,True
Pistol Scavenger,20,,True
Rejuvenation,20,,True
Rifle Amp,20,,True
Rifle Scavenger,20,,True
Shield Disruption,20,,True
Shotgun Scavenger,20,,True
Sniper Scavenger,20,,True
Sprint Boost,20,,True
Steel Charge,20,,True
Ambush Optics,20,,True
Brain Storm,20,,True
Bursting Mass,20,,True
Critical Precision,20,,True
Deadly Maneuvers,20,,True
Directed Convergence,20,,True
Dizzying Rounds,20,,True
Double Tap,20,,True
Efficient Beams,20,,True
Exposing Harpoon,20,,True
Eximus Advantage,20,,True
Focused Acceleration,20,,True
Metamorphic Magazine,20,,True
Napalm Grenades,20,,True
Precision Strike,20,,True
Range Advantage,20,,True
Sentient Barrage,20,,True
Shrapnel Rounds,20,,True
Skull Shots,20,,True
Spring-Loaded Broadhead,20,,True
Wild Frenzy,20,,True
Deceptive Bond,20,,True
Purging Slash,20,,True
Purifying Flames,20,,True
Power of Three,20,,True
Prism Guard,20,,True
Recharge Barrier,20,,True
Rumbled,20,,True
Singularity,20,,True
