Name,Reputation,Plat,Important
Lanzo Fishing Spear,500,,False
Tulok Fishing Spear,500,,False
Peram Fishing Spear,500,,False
Peppered Bait,50,,False
Luminous Dye,100,,False
Nosam Cutter,500,,False
Tear Azurite x10 Blueprint,1000,,False
Pyrotic Alloy x20 Blueprint,1000,,False
Ruhang Blueprint,1000,,False
Jai Blueprint,1000,,False
Peye Blueprint,1000,,False
Seekalla Blueprint,1000,,False
Laka Blueprint,1000,,False
Jayap Blueprint,1000,,False
Kwath Blueprint,1000,,False
Kroostra Blueprint,1000,,False
Korb Blueprint,1000,,False
Shtung Blueprint,1000,,False
Balla Blueprint,1000,,False
Ooltha Blueprint,1000,,False
Kronsh Blueprint,1000,,False
Dehtat Blueprint,1000,,False
Mewan Blueprint,1000,,False
Cyath Blueprint,1000,,False
Sepfahn Blueprint,1000,,False
Rabvee Blueprint,1000,,False
Dokrahm Blueprint,1000,,False
Kuaka Echo-Lure,500,,False
Kuaka Pheromone Oota,100,,False
Twilight Bait,100,,False
Mawfish Trophy Blueprint,2000,,False
Khut-Khut Trophy Blueprint,2000,,False
Yogwun Trophy Blueprint,2000,,False
Charc Eel Trophy Blueprint,2000,,False
Goopolla Trophy Blueprint,2000,,False
Esher Devar x10 Blueprint,5000,,False
Coprite Alloy x20 Blueprint,5000,,False
Ruhang II Blueprint,2000,,False
Jai II Blueprint,2000,,False
Condroc Echo-Lure,1000,,False
Condroc Pheromone Oota,200,,False
Murkray Bait,200,,False
Tralok Trophy Blueprint,5000,,False
Mortus Lungfish Trophy Blueprint,5000,,False
Focused Nosam Cutter,750,,False
Marquise Veridos x10 Blueprint,10000,,False
Fersteel Alloy x20 Blueprint,10000,,False
Vargeet Ruhang Blueprint,5000,,False
Ekwana Ruhang Blueprint,5000,,False
Vargeet Jai Blueprint,5000,,False
Ekwana Jai Blueprint,5000,,False
Mergoo Echo-Lure,2000,,False
Mergoo Pheromone Oota,200,,False
Norg Bait,300,,False
Sharrac Trophy Blueprint,7500,,False
Karkina Trophy Blueprint,7500,,False
Pharoma,100,,False
Star Crimzian x6 Blueprint,15000,,False
Auroxium Alloy x20 Blueprint,15000,,False
Vargeet II Ruhang Blueprint,7500,,False
Ekwana II Ruhang Blueprint,7500,,False
Vargeet II Jai Blueprint,7500,,False
Ekwana II Jai Blueprint,7500,,False
Vasca Kavat Echo-Lure,3000,,False
Vasca Kavat Pheromone Oota,200,,False
Vasca Curative,500,,False
Cuthol Bait,400,,False
Murkray Trophy Blueprint,10000,,False
Norg Trophy Blueprint,10000,,False
Cuthol Trophy Blueprint,10000,,False
Boot Trophy Blueprint,10000,,False
Advanced Nosam Cutter,1000,,False
Radian Sentirum x3 Blueprint,20000,,False
Heart Nyth x3 Blueprint,20000,,False
Cracked Jug,50000,,False
Wide Fruit Basket,50000,,False
Modest Fruit Basket,50000,,False
Bountiful Fruit Basket,50000,,False
Red Spices,50000,,False
Iradite Nugget,50000,,False
Vargeet Ruhang II Blueprint,10000,,False
Ekwana Ruhang II Blueprint,10000,,False
Vargeet Jai II Blueprint,10000,,False
Ekwana Jai II Blueprint,10000,,False
Glappid Bait,500,,False
Glappid Trophy Blueprint,12500,,False
Plains of Eidolon Scene,130000,,False
Cetus Scene,130000,,False
Blue Spices,100000,,False
Blue Cetus Sign,100000,,False
Red Cetus Sign,100000,,False
Green Cetus Sign,100000,,False
Fishing Boot,100000,,False
Exodia Brave,10000,,True
Exodia Valor,10000,,True
Exodia Might,10000,,True
Exodia Triumph,10000,,True
Exodia Hunt,10000,,True
Exodia Force,10000,,True
Veridos Glyph,75000,,False
Goopolla Glyph,25000,,False
Common Condroc Glyph,75000,,False
Ostron Armor Set,125000,,False
Restorative Bond (Companion),20000,,True
Manifold Bond (Robotic),20000,,True
Covert Bond (Companion),20000,,True
Mystic Bond (Companion),20000,,True
Tandem Bond (Beast),20000,,True
Elusive Posture,100000,,True
Balanced Posture,100000,,True
Loyal Retriever,100000,,True
Precision Conditioning,100000,,True
Cull the Weak,100000,,True
Bloodthirst,100000,,True
